Pays;CODE;Cat;Nom;Fréquence;Altitude;Latitude;Longitude;
LF;LFRK/SW;PtRep;Caen Pt 4 voies SE Villers-Bocage;;510;49.0781;-0.641389;
LF;LFRK/W;PtRep;Caen Rd-Pt Forêt Balleroy;;230;49.1936;-0.864444;
LF;LFRK/NK;PtRep;Caen Saint Contest (Tr);;250;49.2119;-0.403333;
LF;LFRK/EY;PtRep;Caen Sucrerie Cagny;;90;49.1408;-0.253889;
LF;LFAC/PC;PtRep;Calais Port (Supp);;1;50.97;1.84694;
LF;LFKC/EA;PtRep;Calvi Cantone;;100;42.5411;8.79917;
LF;LFKC/IR;PtRep;Calvi l'Ile Rousse;;30;42.6444;8.93167;
LF;LFKC/N;PtRep;Calvi La Revellata;;60;42.5831;8.72444;
LF;LFKC/MER;PtRep;Calvi Merlu;;1;43.0797;7.79306;
LF;LFKC/PB;PtRep;Calvi Pt en Mer;;1;42.5694;8.665;
LF;LFKC/NW;PtRep;Calvi Pt en Mer;;1;42.5753;8.69083;
LF;LFKC/W;PtRep;Calvi Punta Ricci;;10;42.5606;8.71667;
LF;LFKC/E;PtRep;Calvi Punta San Damiano;;20;42.6122;8.85222;
LF;LFKC/S;PtRep;Calvi Sémaphore Cavallo;;900;42.5125;8.665;
LF;LFKC/TOR;PtRep;Calvi Tortu;;1;43.3881;8.95806;
LF;LFKC/WC;PtRep;Calvi WC 6nm NW Punta Ricci;;1;42.6192;8.61361;
LF;LFMD/SB;PtRep;Cannes 1 Km Sud Cap Gros;;1;43.5353;7.145;
LF;LFMD/SA;PtRep;Cannes 1 Km sud Ile Saint Honorat;;1;43.4889;7.04694;
LF;LFMD/SV;PtRep;Cannes 1 Nm Ouest St Honorat (Hél);;1;43.5075;7.03167;
LF;LFMD/DR;PtRep;Cannes 1 nm S Ph. Pte Dramont;;1;43.3983;6.85556;
LF;LFMD/SW;PtRep;Cannes 1 nm/SE Cap Roux;;1;43.4358;6.935;
LF;LFMD/NA;PtRep;Cannes Bge Var Nord Ctr Comm;;200;43.75;7.18889;
LF;LFMD/WA;PtRep;Cannes Château Cagnes S M;;130;43.6669;7.14556;
LF;LFMD/HE;PtRep;Cannes Digue Est Jetée SW Gare Tr (Hél);;1;43.5431;6.96833;
LF;LFMD/TA;PtRep;Cannes Entre Sud Rocher R et HV;;1;43.5367;7.00167;
LF;LFMD/EW;PtRep;Cannes Golf sud Opio;;900;43.66;6.98;
LF;LFMD/HW;PtRep;Cannes Jetée Est Port Béal (Hél);;1;43.5378;6.95861;
LF;LFMD/HV;PtRep;Cannes Ouest Phare Bertéguier (Hél);;1;43.5256;7.01667;
LF;LFMD/PF;PtRep;Cannes Phare Fourmigue;;1;43.5394;7.07778;
LF;LFMD/WL;PtRep;Cannes Pte Sud Lac St Cassien;;500;43.5539;6.79389;
LF;LFMD/LC;PtRep;Cannes Rte/A8;;320;43.5858;6.99778;
LF;LFMD/WD;PtRep;Cannes Stade Planestel -  Sud A8;;1000;43.5211;6.80667;
LF;LFMD/N;PtRep;Cannes Stade Tignet;;900;43.6328;6.85306;
LF;LFMD/TD;PtRep;Cannes W SV Sud TA;;1;43.5056;6.99444;
LF;EGJA/HAG;PtRep;Cap de La Hague;;1;49.7167;-1.95;
LF;LFMK/WA;PtRep;Carcassonne Alzonne;;420;43.2542;2.1775;
LF;LFMK/ES;PtRep;Carcassonne Capendu;;300;43.185;2.55611;
LF;LFMK/NC;PtRep;Carcassonne Conques sur Orbiel;;450;43.2686;2.40056;
LF;LFMK/SF;PtRep;Carcassonne Coufoullens;;500;43.1556;2.30583;
LF;LFMK/S;PtRep;Carcassonne Limoux;;600;43.0544;2.21667;
LF;LFMK/WP;PtRep;Carcassonne Prouilles;;700;43.1936;2.055;
LF;LFMK/EN;PtRep;Carcassonne Rieux Minervois;;400;43.2822;2.58778;
LF;LFMK/WM;PtRep;Carcassonne Sud Montréal;;700;43.1903;2.14194;
LF;LFMK/W;PtRep;Carcassonne Villepinte;;450;43.2822;2.08639;
LF;LFNH/NE;PtRep;Carpentras NE arr Planeurs;;620;44.0364;5.09472;
LF;LFBC/NE;PtRep;Cazaux Bassin Est Port la Mole;;10;44.6436;-1.04833;
LF;LFBC/B;PtRep;Cazaux Ch. D'eau;;80;44.4872;-1.07111;
LF;LFBC/C;PtRep;Cazaux Cimetière;;90;44.5306;-1.16167;
LF;LFBC/E;PtRep;Cazaux Est Parc du Teich;;30;44.6333;-1.00556;
LF;LFBC/A;PtRep;Cazaux Inter D804 - Plan d'eau (Hél.);;80;44.5542;-1.15278;
LF;LFBC/W;PtRep;Cazaux Nd Dune Pyla;;250;44.5986;-1.21111;
LF;LFBC/WS;PtRep;Cazaux Sud Dune Pyla;;250;44.575;-1.225;
LF;LFOK/S;PtRep;Chalons Vatry A26 D98 VF;;480;48.6708;4.17333;
LF;LFOK/WA;PtRep;Chalons Vatry Connantray Vaurefoy;;480;48.7475;4.06222;
LF;LFOK/N;PtRep;Chalons Vatry Echangeur A26 D5;;420;48.9119;4.28611;
LF;LFOK/SW;PtRep;Chalons Vatry Silo W Sommesous;;550;48.735;4.19222;
LF;LFOK/W;PtRep;Chalons Vatry Sucrerie Connantre;;340;48.7272;3.9;
LF;LFOK/N1;PtRep;Chalons Vatry Usine West Vatry;;400;48.8239;4.22417;
LF;LFLB/ALBY;PtRep;Chambéry Alby sur Chéran;;1400;45.8167;6.02028;
LF;LFLB/WB;PtRep;Chambéry Belley (Rd Pt);;790;45.7581;5.70556;
LF;LFLB/NL;PtRep;Chambéry Bout du Lac (Nord);;770;45.8058;5.82889;
LF;LFLB/WA;PtRep;Chambéry Col du Chat;;2200;45.6928;5.84694;
LF;LFLB/SW;PtRep;Chambéry Col du crucifix;;3000;45.5556;5.83111;
LF;LFLB/SM;PtRep;Chambéry Ech. Autoroute;;900;45.4839;6.02361;
LF;LFLB/EY;PtRep;Chambéry Ech. Grésy sur Aix;;960;45.7142;5.92389;
LF;LFLB/WG;PtRep;Chambéry St-Génix sur Guiers;;790;45.5981;5.63167;
LF;LFLB/WC;PtRep;Chambéry Sud Culloz (Ch. De F.);;790;45.8431;5.77917;
LF;LFLB/SB;PtRep;Chambéry ZI Albanne;;1040;45.5431;5.95667;
LF;LFOC/SW;PtRep;Châteaudun Cloyes Plan d'eau;;320;48.0103;1.24361;
LF;LFOC/NA;PtRep;Chateaudun Flacey - Inter N10/D110;;500;48.1467;1.35056;
LF;LFOC/SA;PtRep;Châteaudun La Ferté Villeneuil;;410;47.9803;1.3375;
LF;LFOC/NW;PtRep;Châteaudun Logron Cimet.;;530;48.1478;1.26722;
LF;LFOC/NE;PtRep;Chateaudun Varize (Ch. D'eau);;420;48.0992;1.51583;
LF;LFOC/SE;PtRep;Chateaudun Verdes (Silo);;400;47.9625;1.42361;
LF;LFLX/SE;PtRep;Châteauroux Ardentes;;550;46.7417;1.83056;
LF;LFLX/NW;PtRep;Châteauroux Chât. Villegongis;;490;46.9147;1.59861;
LF;LFLX/S;PtRep;Châteauroux Échangeur;;500;46.6994;1.58333;
LF;LFLX/E;PtRep;Châteauroux Inters. À Vouillon;;510;46.8219;1.925;
LF;LFLX/N;PtRep;Châteauroux Levroux Poste Électr.;;450;46.9728;1.6;
LF;LFLX/NE;PtRep;Châteauroux Sud Issoudun;;450;46.9386;1.99722;
LF;LFLX/W;PtRep;Châteauroux Villedieux/Indre Cimet.;;450;46.8506;1.53028;
LF;LFRC/N;PtRep;Cherbourg Cap Lévy;;1;49.6981;-1.47306;
LF;LFRC/WC;PtRep;Cherbourg CC La Glacerie;;550;49.5986;-1.595;
LF;LFRC/SB;PtRep;Cherbourg Ch. D'eau Saussemesnil;;415;49.5772;-1.4625;
LF;LFRC/SC;PtRep;Cherbourg Fort de la Hougue;;30;49.5736;-1.275;
LF;LFRC/EC;PtRep;Cherbourg Phare Gatteville;;1;49.6825;-1.27194;
LF;LFRC/SU;PtRep;Cherbourg Valognes;;100;49.5097;-1.47167;
LF;LFLC/N;PtRep;Clermont Fd A71 sortie Riom;;1050;45.8953;3.15389;
LF;LFLC/SB;PtRep;Clermont Fd Billom;;1200;45.7225;3.33722;
LF;LFLC/SE;PtRep;Clermont Fd Courpière;;1100;45.7547;3.53833;
LF;LFLC/S;PtRep;Clermont Fd Ech. Champeix;;1250;45.6533;3.16861;
LF;LFLC/NA;PtRep;Clermont Fd Péage Gerzat;;1100;45.8414;3.16028;
LF;LFLC/SA;PtRep;Clermont Fd Pont A75 tr Cournon;;1150;45.7344;3.15306;
LF;LFLC/NE;PtRep;Clermont Fd Puy Guillaume;;950;45.9597;3.47417;
LF;LFLC/NB;PtRep;Clermont Fd Puy Silos Ennezat;;1080;45.9142;3.21694;
LF;LFHCLE/HC;PtRep;Clermont St J RP Pérignat;;1150;45.7467;3.13667;
LF;LFHCLE/HD;PtRep;Clermont St J Sortie Autor.;;1080;45.8056;3.15111;
LF;LFBG/S;PtRep;Cognac Archiac;;350;45.5236;-0.290833;
LF;LFBG/N;PtRep;Cognac Burie;;200;45.7722;-0.422778;
LF;LFBG/W2;PtRep;Cognac Chadenac;;150;45.5417;-0.4425;
LF;LFBG/E1;PtRep;Cognac Gensac La Pallue;;70;45.6508;-0.2525;
LF;LFBG/N1;PtRep;Cognac Pont de Merpins;;20;45.6856;-0.3975;
LF;LFBG/S2;PtRep;Cognac Roissac;;250;45.6206;-0.282222;
LF;LFBG/S1;PtRep;Cognac Saint Fort sur le Ne;;100;45.5769;-0.305278;
